company_id,name,town,postcode,sectors,entry_routes,role_families,size_band,priority_employer,hiring_signal,website,summary,profile_text
GLC001,Renishaw,Wotton-under-Edge,GL12,aerospace_manufacturing|cyber_digital,apprenticeship|graduate|higher_apprenticeship,engineer_ops|software|manufacturing|technician,large,1,high,https://www.renishaw.com,Precision engineering and metrology employer with strong STEM apprenticeships and graduate routes in Gloucestershire.,Renishaw Gloucestershire advanced manufacturing metrology engineering software apprenticeships graduates STEM precision
GLC002,Spirax Sarco,Cheltenham,GL53,aerospace_manufacturing|business_professional,apprenticeship|graduate,engineer_ops|manufacturing|project_coord|finance,large,1,high,https://www.spiraxsarco.com,Thermal energy and steam systems manufacturer offering engineering apprenticeships and graduate programmes.,Spirax Sarco Cheltenham engineering manufacturing steam energy apprenticeships graduate schemes
GLC003,GE Aerospace,Gloucester area,GL2,aerospace_manufacturing,apprenticeship|graduate|higher_apprenticeship,engineer_ops|manufacturing|technician|quality,large,1,high,https://www.geaerospace.com,Major aerospace employer with engineering and manufacturing pathways for school leavers and graduates.,GE Aerospace Gloucestershire aerospace manufacturing engineering apprenticeships propulsion
GLC004,Moog,Tewkesbury,GL20,aerospace_manufacturing,apprenticeship|graduate,engineer_ops|manufacturing|technician|software,large,1,high,https://www.moog.com,Aerospace flight control systems manufacturer expanding in Tewkesbury with engineering careers.,Moog Tewkesbury aerospace flight controls manufacturing engineering apprenticeships
GLC005,Safran Landing Systems,Gloucester area,GL2,aerospace_manufacturing,apprenticeship|graduate,engineer_ops|manufacturing|technician|quality,large,1,medium,https://www.safran-group.com,Aerospace landing systems manufacturer with technical apprenticeship routes.,Safran Gloucestershire aerospace landing systems manufacturing engineering apprenticeships
GLC006,CyNam Network,Cheltenham,GL50,cyber_digital,apprenticeship|internship|graduate|school_leaver,cyber|software|analyst|sales,mixed,1,high,https://cynam.org,Cheltenham cyber cluster connecting SMEs and talent; gateway to multiple cyber employers and events.,CyNam Cheltenham cyber security digital network SMEs apprenticeships cyber careers
GLC007,Ripjar,Cheltenham,GL50,cyber_digital,graduate|internship|higher_apprenticeship,software|cyber|data|analyst,sme,1,medium,https://ripjar.com,Cyber and financial crime intelligence software company hiring technical and analyst talent.,Ripjar Cheltenham cyber software intelligence data analysis graduate jobs
GLC008,Surevine,Cheltenham,GL50,cyber_digital,graduate|internship,software|cyber|project_coord,sme,1,medium,https://www.surevine.com,Secure collaboration software company in the Cheltenham cyber ecosystem.,Surevine cyber secure software collaboration Cheltenham graduate developer
GLC009,Farm491,Cirencester,GL7,agri_tech_food,internship|graduate|apprenticeship,research_lab|field_ops|business_dev|technician,mixed,1,medium,https://farm491.com,Agri-tech incubator linked to RAU; startups and applied food and farming tech roles.,Farm491 Cirencester agri-tech food farming innovation startups internships
GLC010,Hartpury University and College,Hartpury,GL19,agri_tech_food|education_training|health_care,apprenticeship|school_leaver|graduate|internship,teaching_support|field_ops|technician|care,large,1,high,https://www.hartpury.ac.uk,Land-based education employer and talent pipeline into agri equine sport and related industries.,Hartpury agriculture equine sport education apprenticeships land-based careers
